Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470n","C_0805_2012Metric",-8.537500,-1.700000,180.000000,bottom
"D1","D_TVS","D_SOD-123F",-15.600000,-2.500000,180.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-7.900000,-7.400000,270.000000,bottom
"J1","JST_SH_SM04B-SRSS-TB_1x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-17.000000,-11.300000,180.000000,bottom
"R1","5.1K","R_0603_1608Metric",7.700000,-4.000000,270.000000,bottom
"R2","5.1K","R_0603_1608Metric",7.700000,-7.000000,270.000000,bottom
"R3","1M","R_1206_3216Metric",-9.000000,-3.800000,180.000000,bottom
"U1","SRV05-4","SOT-23-6",-11.200000,-8.200000,90.000000,bottom
"USB1","HRO-TYPE-C-31-M-14","HRO-TYPE-C-31-M-14",0.000000,0.000000,180.000000,bottom
